Air,Water,Soil,Landfilled,waste_streets,air_including_streets_overlap
-0.430684252,210.2253543,208.0805678,1.101822877,2.7,278.8101026
0.951922591,279.4387363,274.5057274,2.534192616,4.3,369.1571313
4.898410468,813.1805187,801.2455618,5.362895381,6.1,1075.014045
18.19259435,1065.62832,1042.14375,9.982758583,8.3,1403.856408
45.72369223,1390.456825,1338.591393,18.72098223,11,1811.31285
134.9320418,1255.098817,1175.69699,38.30381438,14.2,1628.881775
395.2929296,1024.450263,887.7184133,75.0679142,18.2,1339.465449
506.0748768,873.6169111,471.6283069,121.2735493,21.7,903.9827991
734.8376459,1168.533878,561.3249304,168.6858647,26.8,1066.31995
1470.520193,1905.381089,1110.524379,376.6743739,29.6,1817.921849
855.8945437,1040.78505,869.328022,393.7220781,31.5,1089.919052
1803.389368,2282.75608,1380.596921,796.6513632,37.2,2002.809534
2049.397205,1093.762426,1846.654907,1927.241011,43.8,2311.955821
1120.459279,600.3417708,978.7096441,2934.21214,50.8,1425.23458
858.1975813,413.4332674,1188.629073,2687.428665,105.8,1221.039868
587.5667331,426.898931,863.584051,1438.048765,84.7,1046.582227
371.4387182,558.5506741,868.6758816,1018.318404,97.1,909.0392312
